"Gene","GO"
"YAL056W","GO:0007124"
"YAL056W","GO:0007165"
"YAL061W","GO:0000721"
"YAL061W","GO:0046872"
"YAL061W","GO:0052587"
"YAL061W","GO:0005634"
"YAL061W","GO:0005737"
"YAL061W","GO:0008150"
"YAL061W","GO:0008270"
"YAL061W","GO:0016491"
"YAL061W","GO:0016616"
"YAL061W","GO:0019152"
"YAL061W","GO:0034079"
"YAL062W","GO:0004353"
"YAL062W","GO:0019676"
"YAL062W","GO:0004354"
"YAL062W","GO:0005634"
"YAL062W","GO:0005739"
"YAL062W","GO:0005829"
"YAL062W","GO:0006520"
"YAL062W","GO:0006537"
"YAL062W","GO:0016491"
"YAL062W","GO:0016639"
"YAL063C","GO:0000128"
"YAL063C","GO:0000501"
"YAL063C","GO:0005537"
"YAL063C","GO:0005576"
"YAL063C","GO:0009277"
"YAL063C","GO:0016020"
"YAL063C","GO:0031225"
"YAL063C","GO:0031589"
"YAL063C","GO:0098552"
"YAL067C","GO:0005215"
"YAL067C","GO:0006810"
"YAL067C","GO:0015124"
"YAL067C","GO:0015719"
"YAL067C","GO:0016020"
"YAL067C","GO:0016021"
"YAL067C","GO:0022857"
"YAL067C","GO:0055085"
"YAL067C","GO:0071944"
"YAR002W","GO:0000972"
"YAR002W","GO:0006607"
"YAR002W","GO:0006611"
"YAR002W","GO:0006913"
"YAR002W","GO:0008298"
"YAR002W","GO:0015031"
"YAR002W","GO:0016020"
"YAR002W","GO:0016973"
"YAR002W","GO:0017056"
"YAR002W","GO:0030466"
"YAR002W","GO:0031965"
"YAR002W","GO:0000973"
"YAR002W","GO:0031990"
"YAR002W","GO:0034398"
"YAR002W","GO:0044613"
"YAR002W","GO:0044615"
"YAR002W","GO:0051028"
"YAR002W","GO:0051276"
"YAR002W","GO:0060188"
"YAR002W","GO:0005515"
"YAR002W","GO:0005543"
"YAR002W","GO:0005634"
"YAR002W","GO:0005635"
"YAR002W","GO:0005643"
"YAR002W","GO:0005829"
"YAR002W","GO:0006302"
"YAR003W","GO:0000723"
"YAR003W","GO:0042800"
"YAR003W","GO:0048188"
"YAR003W","GO:0051568"
"YAR003W","GO:0000781"
"YAR003W","GO:0000922"
"YAR003W","GO:0005515"
"YAR003W","GO:0005634"
"YAR003W","GO:0005694"
"YAR003W","GO:0006348"
"YAR003W","GO:0006355"
"YAR003W","GO:0031509"
"YAR014C","GO:0000131"
"YAR014C","GO:0006355"
"YAR014C","GO:0007010"
"YAR014C","GO:0007049"
"YAR014C","GO:0008360"
"YAR014C","GO:0015630"
"YAR014C","GO:0019888"
"YAR014C","GO:0030837"
"YAR014C","GO:0030950"
"YAR014C","GO:0032465"
"YAR014C","GO:0032880"
"YAR014C","GO:0000164"
"YAR014C","GO:0045944"
"YAR014C","GO:0051286"
"YAR014C","GO:0051301"
"YAR014C","GO:0060627"
"YAR014C","GO:0090337"
"YAR014C","GO:1990615"
"YAR014C","GO:0000282"
"YAR014C","GO:0000903"
"YAR014C","GO:0005515"
"YAR014C","GO:0005634"
"YAR014C","GO:0005737"
"YAR014C","GO:0005934"
"YAR014C","GO:0005935"
"YAR023C","GO:0003674"
"YAR023C","GO:0005575"
"YAR023C","GO:0005783"
"YAR023C","GO:0005794"
"YAR023C","GO:0005886"
"YAR023C","GO:0008150"
"YAR023C","GO:0016020"
"YAR023C","GO:0016021"
"YAR023C","GO:0016050"
"YAR035W","GO:0004092"
"YAR035W","GO:0016740"
"YAR035W","GO:0016746"
"YAR035W","GO:0004095"
"YAR035W","GO:0005739"
"YAR035W","GO:0005743"
"YAR035W","GO:0006066"
"YAR035W","GO:0006629"
"YAR035W","GO:0006631"
"YAR035W","GO:0009437"
"YAR035W","GO:0016020"
"YAR042W","GO:0000138"
"YAR042W","GO:0005774"
"YAR042W","GO:0005783"
"YAR042W","GO:0005789"
"YAR042W","GO:0005794"
"YAR042W","GO:0005829"
"YAR042W","GO:0005886"
"YAR042W","GO:0006869"
"YAR042W","GO:0006887"
"YAR042W","GO:0006897"
"YAR042W","GO:0008142"
"YAR042W","GO:0000139"
"YAR042W","GO:0008289"
"YAR042W","GO:0015248"
"YAR042W","GO:0015918"
"YAR042W","GO:0016020"
"YAR042W","GO:0030011"
"YAR042W","GO:0032934"
"YAR042W","GO:0034727"
"YAR042W","GO:0043231"
"YAR042W","GO:0071561"
"YAR042W","GO:0097038"
"YAR042W","GO:0005515"
"YAR042W","GO:0120009"
"YAR042W","GO:0120015"
"YAR042W","GO:0005545"
"YAR042W","GO:0005634"
"YAR042W","GO:0005635"
"YAR042W","GO:0005640"
"YAR042W","GO:0005769"
"YAR042W","GO:0005773"
"YAR050W","GO:0000128"
"YAR050W","GO:0036281"
"YAR050W","GO:0070301"
"YAR050W","GO:0071361"
"YAR050W","GO:0071944"
"YAR050W","GO:0098552"
"YAR050W","GO:0000501"
"YAR050W","GO:0005537"
"YAR050W","GO:0005576"
"YAR050W","GO:0005886"
"YAR050W","GO:0009277"
"YAR050W","GO:0016020"
"YAR050W","GO:0031225"
"YAR050W","GO:0034605"
"YAR071W","GO:0003993"
"YAR071W","GO:0005576"
"YAR071W","GO:0006796"
"YAR071W","GO:0009277"
"YAR071W","GO:0016787"
"YAR071W","GO:0016791"
"YAR071W","GO:0071944"
"YBL005W","GO:0000978"
"YBL005W","GO:0008270"
"YBL005W","GO:0045944"
"YBL005W","GO:0046872"
"YBL005W","GO:0061414"
"YBL005W","GO:2001040"
"YBL005W","GO:0000981"
"YBL005W","GO:0001077"
"YBL005W","GO:0001228"
"YBL005W","GO:0003677"
"YBL005W","GO:0005634"
"YBL005W","GO:0005737"
"YBL005W","GO:0006351"
"YBL005W","GO:0006355"
"YBL008W","GO:0000122"
"YBL008W","GO:0006325"
"YBL008W","GO:0006334"
"YBL008W","GO:0006336"
"YBL008W","GO:0006338"
"YBL008W","GO:0006351"
"YBL008W","GO:0006355"
"YBL008W","GO:0006368"
"YBL008W","GO:0016480"
"YBL008W","GO:0016569"
"YBL008W","GO:0031491"
"YBL008W","GO:0000417"
"YBL008W","GO:0031935"
"YBL008W","GO:0042802"
"YBL008W","GO:1905268"
"YBL008W","GO:0000775"
"YBL008W","GO:0000790"
"YBL008W","GO:0003677"
"YBL008W","GO:0003714"
"YBL008W","GO:0005515"
"YBL008W","GO:0005634"
"YBL008W","GO:0005694"
"YBL010C","GO:0003674"
"YBL010C","GO:0003677"
"YBL010C","GO:0005634"
"YBL010C","GO:0030136"
"YBL015W","GO:0003986"
"YBL015W","GO:0019679"
"YBL015W","GO:0005737"
"YBL015W","GO:0005739"
"YBL015W","GO:0005829"
"YBL015W","GO:0006083"
"YBL015W","GO:0006084"
"YBL015W","GO:0008410"
"YBL015W","GO:0008775"
"YBL015W","GO:0016787"
"YBL017C","GO:0000166"
"YBL017C","GO:0006895"
"YBL017C","GO:0006896"
"YBL017C","GO:0007034"
"YBL017C","GO:0015031"
"YBL017C","GO:0016020"
"YBL017C","GO:0016021"
"YBL017C","GO:0031902"
"YBL017C","GO:0046907"
"YBL017C","GO:0048203"
"YBL017C","GO:0000324"
"YBL017C","GO:0000423"
"YBL017C","GO:0000425"
"YBL017C","GO:0005048"
"YBL017C","GO:0005515"
"YBL017C","GO:0005794"
"YBL017C","GO:0005829"
"YBL017C","GO:0006623"
"YBL018C","GO:0000171"
"YBL018C","GO:0006364"
"YBL018C","GO:0006379"
"YBL018C","GO:0008033"
"YBL018C","GO:0016787"
"YBL018C","GO:0034965"
"YBL018C","GO:0000172"
"YBL018C","GO:0000294"
"YBL018C","GO:0000460"
"YBL018C","GO:0001682"
"YBL018C","GO:0004526"
"YBL018C","GO:0005634"
"YBL018C","GO:0005655"
"YBL018C","GO:0005829"
"YBL019W","GO:0003677"
"YBL019W","GO:0008081"
"YBL019W","GO:0008270"
"YBL019W","GO:0008311"
"YBL019W","GO:0008408"
"YBL019W","GO:0016787"
"YBL019W","GO:0046872"
"YBL019W","GO:0140078"
"YBL019W","GO:0140080"
"YBL019W","GO:0003824"
"YBL019W","GO:0003906"
"YBL019W","GO:0004518"
"YBL019W","GO:0004519"
"YBL019W","GO:0005634"
"YBL019W","GO:0006281"
"YBL019W","GO:0006284"
"YBL019W","GO:0006974"
"YBL021C","GO:0000436"
"YBL021C","GO:0006366"
"YBL021C","GO:0016602"
"YBL021C","GO:0032991"
"YBL021C","GO:0043457"
"YBL021C","GO:0043565"
"YBL021C","GO:0046982"
"YBL021C","GO:0000978"
"YBL021C","GO:0000981"
"YBL021C","GO:0001228"
"YBL021C","GO:0003677"
"YBL021C","GO:0005634"
"YBL021C","GO:0006109"
"YBL021C","GO:0006355"
"YBL021C","GO:0006357"
"YBL024W","GO:0000049"
"YBL024W","GO:0008033"
"YBL024W","GO:0008168"
"YBL024W","GO:0008173"
"YBL024W","GO:0008757"
"YBL024W","GO:0016428"
"YBL024W","GO:0016740"
"YBL024W","GO:0030488"
"YBL024W","GO:0032259"
"YBL024W","GO:0070301"
"YBL024W","GO:0001510"
"YBL024W","GO:0002127"
"YBL024W","GO:0003723"
"YBL024W","GO:0005634"
"YBL024W","GO:0005654"
"YBL024W","GO:0005730"
"YBL024W","GO:0005737"
"YBL024W","GO:0006400"
"YBL027W","GO:0002181"
"YBL027W","GO:0003723"
"YBL027W","GO:0003735"
"YBL027W","GO:0005737"
"YBL027W","GO:0005829"
"YBL027W","GO:0005840"
"YBL027W","GO:0006412"
"YBL027W","GO:0022625"
"YBL027W","GO:1990904"
"YBL029C-A","GO:0005886"
"YBL029C-A","GO:0008150"
"YBL029C-A","GO:0008270"
"YBL029C-A","GO:0016020"
"YBL029W","GO:0003674"
"YBL029W","GO:0005634"
"YBL029W","GO:0005737"
"YBL029W","GO:0008150"
"YBL032W","GO:0000723"
"YBL032W","GO:0005737"
"YBL032W","GO:0006325"
"YBL032W","GO:0006417"
"YBL032W","GO:0007004"
"YBL032W","GO:0008298"
"YBL032W","GO:0016569"
"YBL032W","GO:0035925"
"YBL032W","GO:0043229"
"YBL032W","GO:0048255"
"YBL032W","GO:0051028"
"YBL032W","GO:0000781"
"YBL032W","GO:0070935"
"YBL032W","GO:0000784"
"YBL032W","GO:0000932"
"YBL032W","GO:0003676"
"YBL032W","GO:0003723"
"YBL032W","GO:0003729"
"YBL032W","GO:0005634"
"YBL032W","GO:0005694"
"YBL039W-B","GO:0003674"
"YBL039W-B","GO:0005777"
"YBL039W-B","GO:0008150"
"YBL042C","GO:0000324"
"YBL042C","GO:0055085"
"YBL042C","GO:0071944"
"YBL042C","GO:0005886"
"YBL042C","GO:0015205"
"YBL042C","GO:0015213"
"YBL042C","GO:0015851"
"YBL042C","GO:0015862"
"YBL042C","GO:0016020"
"YBL042C","GO:0016021"
"YBL042C","GO:0022857"
"YBL045C","GO:0004222"
"YBL045C","GO:0009060"
"YBL045C","GO:0016020"
"YBL045C","GO:0016485"
"YBL045C","GO:0045333"
"YBL045C","GO:0046872"
"YBL045C","GO:0070469"
"YBL045C","GO:1902600"
"YBL045C","GO:0005515"
"YBL045C","GO:0005739"
"YBL045C","GO:0005743"
"YBL045C","GO:0005750"
"YBL045C","GO:0006122"
"YBL045C","GO:0006627"
"YBL045C","GO:0008121"
"YBL045C","GO:0008270"
"YBL049W","GO:0005575"
"YBL049W","GO:0008150"
"YBL049W","GO:0008270"
"YBL049W","GO:0046872"
"YBL055C","GO:0004518"
"YBL055C","GO:0046483"
"YBL055C","GO:0046872"
"YBL055C","GO:1901360"
"YBL055C","GO:0004519"
"YBL055C","GO:0005737"
"YBL055C","GO:0006309"
"YBL055C","GO:0008296"
"YBL055C","GO:0016787"
"YBL055C","GO:0016788"
"YBL055C","GO:0016888"
"YBL055C","GO:0034599"
"YBL057C","GO:0004045"
"YBL057C","GO:0005515"
"YBL057C","GO:0005737"
"YBL057C","GO:0005739"
"YBL057C","GO:0005741"
"YBL057C","GO:0005829"
"YBL057C","GO:0016787"
"YBL057C","GO:0032435"
"YBL064C","GO:0004601"
"YBL064C","GO:0051920"
"YBL064C","GO:0070887"
"YBL064C","GO:0098869"
"YBL064C","GO:0005739"
"YBL064C","GO:0005829"
"YBL064C","GO:0008379"
"YBL064C","GO:0016209"
"YBL064C","GO:0016491"
"YBL064C","GO:0034599"
"YBL064C","GO:0045454"
"YBL064C","GO:0046686"
"YBL066C","GO:0000976"
"YBL066C","GO:0008150"
"YBL066C","GO:0008270"
"YBL066C","GO:0030435"
"YBL066C","GO:0044212"
"YBL066C","GO:0046872"
"YBL066C","GO:0000981"
"YBL066C","GO:0000982"
"YBL066C","GO:0003677"
"YBL066C","GO:0005575"
"YBL066C","GO:0005634"
"YBL066C","GO:0006351"
"YBL066C","GO:0006355"
"YBL066C","GO:0006357"
"YBL068W","GO:0000166"
"YBL068W","GO:0009116"
"YBL068W","GO:0009156"
"YBL068W","GO:0009165"
"YBL068W","GO:0016301"
"YBL068W","GO:0016310"
"YBL068W","GO:0016740"
"YBL068W","GO:0031505"
"YBL068W","GO:0044249"
"YBL068W","GO:0046872"
"YBL068W","GO:0000287"
"YBL068W","GO:0002189"
"YBL068W","GO:0004749"
"YBL068W","GO:0005515"
"YBL068W","GO:0005524"
"YBL068W","GO:0005737"
"YBL068W","GO:0006015"
"YBL068W","GO:0006164"
"YBL071W-A","GO:0002098"
"YBL071W-A","GO:0009055"
"YBL071W-A","GO:0016491"
"YBL071W-A","GO:0016730"
"YBL071W-A","GO:0017183"
"YBL071W-A","GO:0034986"
"YBL071W-A","GO:0046872"
"YBL071W-A","GO:0090560"
"YBL071W-A","GO:0002926"
"YBL071W-A","GO:0005506"
"YBL071W-A","GO:0005515"
"YBL071W-A","GO:0005634"
"YBL071W-A","GO:0005737"
"YBL071W-A","GO:0008033"
"YBL071W-A","GO:0008198"
"YBL071W-A","GO:0008270"
"YBL072C","GO:0000462"
"YBL072C","GO:1990904"
"YBL072C","GO:0002181"
"YBL072C","GO:0003735"
"YBL072C","GO:0005737"
"YBL072C","GO:0005829"
"YBL072C","GO:0005840"
"YBL072C","GO:0006412"
"YBL072C","GO:0022627"
"YBL072C","GO:0030686"
"YBL076C","GO:0000049"
"YBL076C","GO:0006418"
