"Gene","GO"
"orf19.242.2","GO:0003674"
"orf19.2568","GO:0003674"
"orf19.1789","GO:0003674"
"orf19.2677","GO:0003674"
"orf19.1706","GO:0003674"
"orf19.2763","GO:0003674"
"orf19.2723","GO:0003674"
"orf19.5777","GO:0003674"
"orf19.5274","GO:0003674"
"orf19.374","GO:0003674"
"orf19.4001","GO:0003674"
"orf19.7409","GO:0003674"
"orf19.5500","GO:0003674"
"orf19.4815","GO:0003674"
"orf19.2342","GO:0003674"
"orf19.6585","GO:0003674"
"orf19.7424","GO:0003674"
"orf19.7403","GO:0003674"
"orf19.1107","GO:0003674"
"orf19.3765","GO:0003674"
"orf19.7330","GO:0003674"
"orf19.1162.1","GO:0003674"
"orf19.4492","GO:0003674"
"orf19.1083","GO:0003674"
"orf19.3972","GO:0003674"
"orf19.392","GO:0003674"
"orf19.103","GO:0003674"
"orf19.5039","GO:0003674"
"orf19.4793","GO:0003674"
"orf19.3658","GO:0003674"
"orf19.3314","GO:0003674"
"orf19.6506","GO:0003674"
"orf19.4529","GO:0003674"
"orf19.318","GO:0003674"
"orf19.4059","GO:0003674"
"orf19.6325.1","GO:0003674"
"orf19.4078","GO:0003674"
"orf19.956","GO:0003674"
"orf19.5131","GO:0003674"
"orf19.1735","GO:0003674"
"orf19.1158","GO:0003674"
"orf19.7405","GO:0003674"
"orf19.3244","GO:0003674"
"orf19.5209","GO:0003674"
"orf19.5378","GO:0003674"
"orf19.2829","GO:0003674"
"orf19.6268","GO:0003674"
"orf19.4534","GO:0003674"
"orf19.5702","GO:0003674"
"orf19.3577.1","GO:0003674"
"orf19.1323","GO:0003674"
"orf19.4640","GO:0003674"
"orf19.757","GO:0003674"
"orf19.3086","GO:0003674"
"orf19.4382","GO:0003674"
"orf19.4457","GO:0003674"
"orf19.4236","GO:0003674"
"orf19.1260","GO:0003674"
"orf19.1525","GO:0003674"
"orf19.7210","GO:0003674"
"orf19.3844","GO:0003674"
"orf19.1633","GO:0003674"
"orf19.2939","GO:0003674"
"orf19.4228","GO:0003674"
"orf19.563","GO:0003674"
"orf19.92","GO:0003674"
"orf19.4898","GO:0003674"
"orf19.6753","GO:0003674"
"orf19.7599","GO:0003674"
"orf19.6498","GO:0003674"
"orf19.6686","GO:0003674"
"orf19.4471","GO:0003674"
"orf19.7098","GO:0003674"
"orf19.5125","GO:0003674"
"orf19.968","GO:0003674"
"orf19.5587","GO:0003674"
"orf19.268","GO:0003674"
"orf19.4637","GO:0003674"
"orf19.2987","GO:0003674"
"orf19.2200","GO:0003674"
"orf19.985","GO:0003674"
"orf19.3159","GO:0003674"
"orf19.2149","GO:0003674"
"orf19.5147","GO:0003674"
"orf19.2106","GO:0003674"
"orf19.7310","GO:0003674"
"orf19.2527","GO:0003674"
"orf19.2185","GO:0003674"
"orf19.4706","GO:0003674"
"orf19.4686","GO:0003674"
"orf19.1169","GO:0003674"
"orf19.6630","GO:0003674"
"orf19.168","GO:0003674"
"orf19.1296","GO:0003674"
"orf19.3697","GO:0003674"
"orf19.3342","GO:0003674"
"orf19.1360","GO:0003674"
"orf19.3140.1","GO:0003674"
"orf19.3983","GO:0003674"
"orf19.5395","GO:0003674"
"orf19.4143","GO:0003674"
"orf19.1532","GO:0003674"
"orf19.59","GO:0003674"
"orf19.819","GO:0003674"
"orf19.1300","GO:0003674"
"orf19.438","GO:0003674"
"orf19.2414","GO:0003674"
"orf19.4090.1","GO:0003674"
"orf19.2208","GO:0003674"
"orf19.74","GO:0003674"
"orf19.1761","GO:0003674"
"orf19.7043","GO:0003674"
"orf19.6788","GO:0003674"
"orf19.3569","GO:0003674"
"orf19.213","GO:0003674"
"orf19.1566","GO:0003674"
"orf19.6296","GO:0003674"
"orf19.3606","GO:0003674"
"orf19.6587","GO:0003674"
"orf19.516","GO:0003674"
"orf19.3701","GO:0003674"
"orf19.5058","GO:0003674"
"orf19.6910","GO:0003674"
"orf19.2717","GO:0003674"
"orf19.21","GO:0003674"
"orf19.3604","GO:0003674"
"orf19.6489","GO:0003674"
"orf19.3010.1","GO:0003674"
"orf19.768","GO:0003674"
"orf19.4676","GO:0003674"
"orf19.5516","GO:0003674"
"orf19.2629","GO:0003674"
"orf19.3154","GO:0003674"
"orf19.3007","GO:0003674"
"orf19.970","GO:0003674"
"orf19.5644","GO:0003674"
"orf19.5248","GO:0003674"
"orf19.7350","GO:0003674"
"orf19.3764","GO:0003674"
"orf19.1114","GO:0003674"
"orf19.6934","GO:0003674"
"orf19.1133","GO:0003674"
"orf19.3166","GO:0003674"
"orf19.1902","GO:0003674"
"orf19.3176","GO:0003674"
"orf19.4326","GO:0003674"
"orf19.7321","GO:0003674"
"orf19.3122.2","GO:0003674"
"orf19.805","GO:0003674"
"orf19.1597","GO:0003674"
