orth_group,num,B,X0.5,X1,X1.5,X2,X3,X4,X6,X8
39,1,0.085991093,0.637243691,0.311662294,0.277743817,0.238935361,0.4551324,0.542248354,0.589819277,0.589340433
41,1,0.022774638,0.01138116,0.020484486,0.019911525,0.015707856,0.020615649,0.030942336,0.030550416,0.041565292
41,2,0.011183313,0.008415677,0.012903293,0.056406407,0.182752208,0.320719253,0.464540428,0.453251242,0.29799309
42,1,0.054288023,0.05690284,0.06118857,0.056456232,0.051063356,0.071145604,0.08387314,0.097885899,0.118989971
42,2,0.0206593,0.004544343,0.004648113,0.005798566,0.008844998,0.007577999,0.009528701,0.008274595,0.011568365
43,1,0.083530792,0.016496671,0.093084722,0.094273951,0.050830351,0.01099733,0.01545376,0.020558455,0.059187048
43,2,0.025264722,0.079388035,0.002218149,0.003712164,0.005939038,0.011996739,0.020872354,0.019944718,0.021239598
43,3,0.056955655,0.239330058,0.008933761,0.010399874,0.025207776,0.031754612,0.036945202,0.039090335,0.04106764
43,4,0.006161779,0.093371524,0.034771318,0.009280308,0.007883628,0.048469667,0.074276284,0.085235802,0.09007858
44,1,0.017991904,0.002875674,0.033951131,0.029252345,0.031469894,0.038951202,0.044319168,0.04915325,0.052217292
45,1,0.065000276,0.04301961,0.066936056,0.062158118,0.060503588,0.080777071,0.116843854,0.138836226,0.14750004
48,1,0.011828494,0.010504995,0.00696554,0.005808599,0.005524338,0.007240947,0.00593386,0.007715546,0.011034558
49,1,0.036939679,0.036368567,0.027584475,0.031692036,0.027407098,0.020450041,0.01653216,0.019918514,0.022069116
49,2,0.098018254,0.255951919,0.014868348,0.014833,0.028296685,0.042667466,0.051700967,0.065524354,0.075634995
50,1,0.041981237,0.031018201,0.056497693,0.050422589,0.039731262,0.096607498,0.52657935,2.235277294,2.905759257
51,1,0.026539113,0.031222957,0.025096065,0.024638075,0.028252747,0.048459628,0.052614584,0.058991202,0.051702343
51,2,0.08158886,0.067113243,0.072353675,0.091817378,0.108664428,0.135503213,0.166007491,0.157728231,0.164463856
